Name,Passes blood-brain barrier,SMILES
fluorometholone,True,[C@]23([C@H]([C@H]1[C@]([C@](C(C)=O)(O)CC1)(C)C[C@@H]2O)C[C@H](C)C4=CC(=O)C=C[C@]34C)F
isoflupredone,True,C(C(C1(CCC2C4C(C(CC12C)O)(F)C3(C=CC(C=C3CC4)=O)C)O)=O)O
tandospirone,True,[C@H]13[C@H]([C@H]2C[C@@H]1CC2)C(=O)N(C3=O)CCCCN4CCN(CC4)C5=NC=CC=N5.C(C(O)(C(=O)O)CC(=O)O)C(=O)O
Org30526,True,c1c2c(cc(c1)Cl)[C@@H]1[C@H](c3ccccc3O2)CNC1
tixocortol,True,[C@H]34[C@H]2[C@@H]([C@@]1(C(=CC(=O)CC1)CC2)C)[C@@H](O)C[C@@]3([C@](C(CS)=O)(O)CC4)C
clotiazepam,True,C1=C(CC)SC2=C1C(=NCC(N2C)=O)C3=CC=CC=C3Cl
thiamylal,True,C(C1(C(NC(=S)NC1=O)=O)C(CCC)C)C=C
panadiplon,True,C1=NC(=C3[N]1C2=C(C=CC=C2)N(C3=O)C(C)C)C4=NOC(=N4)C5CC5
viqualine,True,C1=C(OC)C=CC2=NC=CC(=C12)CCCC3C(CNCC3)C=C
Sankyo,True,c1(ccc(c(c1)Cl)Cl)CC(=O)N1[C@H](C[N@@](C)CC1)CN1CCCC1
pivampicillin,False,CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O
alclometasone,True,[C@H]24[C@H]1[C@@]([C@](O)([C@@H](C1)C)C(=O)CO)(C[C@H](O)[C@@H]2[C@@]3(C(=CC(=O)C=C3)C[C@H]4Cl)C)C
pramiracetam,True,C(N1C(CCC1)=O)C(NCCN(C(C)C)C(C)C)=O
roxoperone,True,C1=CC(=CC=C1C(CCCN3CCC2(C(N(C)C(C2)=O)=O)CC3)=O)F
Nor-1-chlorpromazine,True,N1(c2c(Sc3c1cccc3)ccc(c2)Cl)CCCNC
cinolazepam,True,C1=C(Cl)C=CC2=C1C(=NC(O)C(N2CCC#N)=O)C3=CC=CC=C3F
semorphone,True,[C@@]125C3=C4C[C@H]([C@@]1(CCC([C@@H]2OC3=C(C=C4)O)=O)O)N(CCOC)CC5
Nelfinavir,False,Cc1c(O)cccc1C(=O)N[C@@H](CSc2ccccc2)[C@H](O)CN3C[C@H]4CCCC[C@H]4C[C@H]3C(=O)NC(C)(C)C
gloximonam,False,CO/N=C(C(=O)N[C@H]1[C@H](C)N(OCC(=O)OCC(=O)OC(C)(C)C)C1=O)/c2csc(N)n2
hexapropymate,True,NC(=O)OC1(CCCCC1)CC#C
